xx
Runan,Ryunan,,
Kreiss,Kuraisu,,
Arkis,Akisu,,
Garo,,,
Kate,Keito,,Kaite
Sasha,,,Sasya
Lee,,,
Ezekiel,,Ezekieru,
Narron,Naron,,
Ruka,,Luca,
Raffin,Rafin,,
Estelle,Esteru,Esther,
Julia,Juria,,
Barts,Batsu,Bartz,
Enteh,Ente,,
Plum,Puramu,,
Raquel,Rakeru,,
Mahter,Materu,Martel,
Vega,,,
Maruju,,Maruj,
Zeek,Jiku,Zieg,Sieg,
Mel,Meru,,
Norton,Nouton,,
Thomas,Tomusu,Tom,
Roger,Roja,,
Katri,Katori,,
Xeno,Zeno,,
Yuni,Juni,,
Meriah,Merieru,Meriel,
Sharon,,,
Billford,Birufoudo,,
Holmes,Houmuzu,,Hormes
Shigen,Theo,Teo,
Alicia,Erisha,,
Samson,Samuson,,
Lionel,Raineru,,
Attrom,Atoromu,,
Krisheenu,Kurishinu,Krishna,Krisheena
Maerhen,Meruhen,Maerchen,
Frau,Furau,,
Sun,San,,
Lyria,Ririe,,
Mintz,Mintsu,,
Rennie,Reni,Leonie,
Shirou,,,
Loffaru,Roufaru,Raphael,
Lionheart,Reonhato,,
Zachariah,Zakaria,Zachariah,
Bud,Bado,,
Rishel,Rishueru,,
Sierra,Shiera,Sherra,
Rebecca,Ribeka,,
Leteena,Retina,Letena,
Narcus,Narusasu,Narcissus,
Rina,Ryina,Lina,
Renee,Rene,,
Yoda,Youda,,
Hagaru,,Hagar,
Verna,Venu,,
Alfred,Afurido,,
Sennet,Seneto,,
Tia,Tie,,
